target,topic,lag,correlation,abs_correlation,direction
ikpa_score,MPN_G3,0,-0.7022,0.7022,NEGATIVE
ikpa_score,MPN_G3,3,-0.534,0.534,NEGATIVE
ikpa_score,CAPAIAN_OUTPUT,0,0.3752,0.3752,POSITIVE
ikpa_score,DIGIT,1,-0.3605,0.3605,NEGATIVE
ikpa_score,MPN_G3,1,-0.3266,0.3266,NEGATIVE
ikpa_score,PMRT,1,-0.3086,0.3086,NEGATIVE
ikpa_score,SUPPLIER,0,-0.2957,0.2957,NEGATIVE
ikpa_score,PMRT,2,-0.2909,0.2909,NEGATIVE
ikpa_score,LAINNYA,3,-0.2754,0.2754,NEGATIVE
ikpa_score,GPP,1,0.2634,0.2634,POSITIVE
ikpa_score,PMRT,0,-0.2512,0.2512,NEGATIVE
ikpa_score,OMSPAN,0,0.2448,0.2448,POSITIVE
ikpa_score,SUPPLIER,2,-0.2444,0.2444,NEGATIVE
ikpa_score,SPM,1,0.2293,0.2293,POSITIVE
ikpa_score,DIGIT,0,-0.2174,0.2174,NEGATIVE
ikpa_score,SAS,2,-0.2093,0.2093,NEGATIVE
ikpa_score,PIN_PPSPM,0,0.2053,0.2053,POSITIVE
ikpa_score,DIGIT,2,-0.2053,0.2053,NEGATIVE
ikpa_score,SIMASPATEN,1,0.2004,0.2004,POSITIVE
ikpa_score,SPAN,2,-0.1935,0.1935,NEGATIVE
ikpa_score,REVISI_DIPA,0,0.1913,0.1913,POSITIVE
ikpa_score,REVISI_DIPA,2,0.1908,0.1908,POSITIVE
ikpa_score,SP2D,3,-0.1906,0.1906,NEGATIVE
ikpa_score,LPJ_BENDAHARA,0,-0.1829,0.1829,NEGATIVE
ikpa_score,LPJ_BENDAHARA,1,0.1772,0.1772,POSITIVE
ikpa_score,SIMASPATEN,2,0.1759,0.1759,POSITIVE
ikpa_score,SAKTI,0,-0.1685,0.1685,NEGATIVE
ikpa_score,SUPPLIER,1,0.1653,0.1653,POSITIVE
ikpa_score,GPP,0,0.1641,0.1641,POSITIVE
ikpa_score,SPM,2,0.1635,0.1635,POSITIVE
ikpa_score,SPAN,3,-0.1615,0.1615,NEGATIVE
ikpa_score,REVISI_DIPA,1,0.1494,0.1494,POSITIVE
ikpa_score,LAINNYA,2,-0.1488,0.1488,NEGATIVE
ikpa_score,SP2D,0,-0.1424,0.1424,NEGATIVE
ikpa_score,SAS,0,-0.1422,0.1422,NEGATIVE
ikpa_score,PIN_PPSPM,2,-0.1355,0.1355,NEGATIVE
ikpa_score,SAKTI,1,-0.1306,0.1306,NEGATIVE
ikpa_score,SAS,1,-0.1286,0.1286,NEGATIVE
ikpa_score,SAKTI,3,0.1256,0.1256,POSITIVE
ikpa_score,CAPAIAN_OUTPUT,2,0.1189,0.1189,POSITIVE
ikpa_score,LPJ_BENDAHARA,3,0.1107,0.1107,POSITIVE
ikpa_score,CAPAIAN_OUTPUT,1,-0.1067,0.1067,NEGATIVE
ikpa_score,GPP,2,0.1057,0.1057,POSITIVE
ikpa_score,SP2D,2,-0.1035,0.1035,NEGATIVE
ikpa_score,SIMASPATEN,3,0.1011,0.1011,POSITIVE
ikpa_score,REVISI_DIPA,3,0.0961,0.0961,POSITIVE
ikpa_score,SPM,3,0.0933,0.0933,POSITIVE
ikpa_score,KONTRAK,2,-0.0885,0.0885,NEGATIVE
ikpa_score,PIN_PPSPM,1,-0.0878,0.0878,NEGATIVE
ikpa_score,PIN_PPSPM,3,-0.0816,0.0816,NEGATIVE
ikpa_score,KONTRAK,3,-0.0767,0.0767,NEGATIVE
ikpa_score,SIMASPATEN,0,0.0733,0.0733,POSITIVE
ikpa_score,LAINNYA,1,-0.0648,0.0648,NEGATIVE
ikpa_score,SPAN,0,0.0623,0.0623,POSITIVE
ikpa_score,SUPPLIER,3,-0.0615,0.0615,NEGATIVE
ikpa_score,OMSPAN,1,0.0608,0.0608,POSITIVE
ikpa_score,LPJ_BENDAHARA,2,-0.0477,0.0477,NEGATIVE
ikpa_score,SP2D,1,-0.0475,0.0475,NEGATIVE
ikpa_score,SPAN,1,-0.0441,0.0441,NEGATIVE
ikpa_score,LAINNYA,0,-0.0413,0.0413,NEGATIVE
ikpa_score,MPN_G3,2,-0.0376,0.0376,NEGATIVE
ikpa_score,OMSPAN,3,0.0376,0.0376,POSITIVE
ikpa_score,KONTRAK,0,0.0338,0.0338,POSITIVE
ikpa_score,SPM,0,-0.0313,0.0313,NEGATIVE
ikpa_score,CAPAIAN_OUTPUT,3,-0.0307,0.0307,NEGATIVE
ikpa_score,DIGIT,3,-0.0307,0.0307,NEGATIVE
ikpa_score,PMRT,3,0.0258,0.0258,POSITIVE
ikpa_score,SAKTI,2,-0.0245,0.0245,NEGATIVE
ikpa_score,OMSPAN,2,0.0107,0.0107,POSITIVE
ikpa_score,GPP,3,0.0063,0.0063,POSITIVE
ikpa_score,KONTRAK,1,-0.0037,0.0037,NEGATIVE
ikpa_score,SAS,3,0.0007,0.0007,POSITIVE
